/watch?v=z6XkLcgr6aM&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=2%2C [비공개 동영상]
/watch?v=bsFZpLNwueY&t=16s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=3%2C 스트레스를 디자인하라 | 정선희 방송인 | 인생 강의 강연 스트레스 | 한글 자막 | 세바시 674회
/watch?v=nos-aVtxvGo&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=4%2C (Kor) 세바시 777회 당신은 이미 발명가입니다 | 송해연 인천원당고등학교 1학년
/watch?v=gujoyMHgVG4&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=5%2C (Kor) 세바시 647회 '사랑할수록' 우리는 더 성장할 것입니다 | 김태원 부활 리더, 뮤지션
/watch?v=RvMjD8Qmnws&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=6%2C (Kor) 세바시 801회 역사 앞에 선다는 것 | 최태성 역사강사
/watch?v=4RIAXlLt95w&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=7%2C (Kor) 세바시 709회 생각이 바뀌면 삶이 바뀐다 | 김경집 인문학자
/watch?v=WCVuo3xUr7U&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=8%2C (Kor) 세바시 699회 나음보다 다름 | 조수용 제이오에이치 대표
/watch?v=A_zuHvBlvkA&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=9%2C 세상은 만만하지 않습니다 | 이국종 아주대학교 의과대학 외과학교실 외상외과 교수 | 인생 강연 강의 듣기 | 세바시 797회
/watch?v=qI2-jjMmV8M&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=10%2C (Kor) 세바시 258회 끌리는 사람으로 만들어주는 스토리의 힘 | 정선혜 '스토리의 마법' 저자
/watch?v=DN8KqorbBMk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=11%2C 당신 | 김제동 방송인 | 인생 강연 강의 듣기 | 세바시 765회
/watch?v=IYxZkfXFo3c&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12%2C (Kor, Eng) 세바시 739회 영화 귀향, 끝나지 않은 이야기 | 조정래 영화감독, 영화 '귀향' 연출
/watch?v=5wfnrEbXsxE&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=13%2C 행복은 강도가 아니라 빈도다 | 김민식 MBC PD | 인생 강연 강의 듣기 | 세바시 764회
/watch?v=qMR6q4GE-H8&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=14%2C 뇌는 사람이 중요하다 | 장동선 뇌과학자 알쓸신잡2 | 인생 강연 강의 듣기 | 세바시 766회
/watch?v=GhbTQenkOA4&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=15%2C (Kor, Eng) 세바시 724회 적응, 그리고 협력 | 송길영 다음소프트 부사장
/watch?v=g7JDyhS7Ahk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=16%2C 감정의 근육을 키워라 | 김창옥 김창옥휴먼컴퍼니 대표 | 세바시 680회
/watch?v=2M9jJJqugvY&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=17%2C 우리를 변화시키는 진정한 힘은 무엇일까요 | 박재연 리플러스 대화교육 안내자 | 소통 강의 강연 대화 커뮤니케이션 | 세바시 668회 | (Kor)
/watch?v=ap1vJoymPUg&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=18%2C (Kor, Eng) 세바시 755회 당신은 혁신의 편입니까? | 이원재 경제평론가, 싱크탱크 재단 여시재 기획이사
